id,game,release_date,price,owners,developer,average_playtime,median_playtime,metascore,platform
80,Hard Truck Apocalypse / Ex Machina,2005-12-8,7.99,"50,000 .. 100,000",Targem Games,0,0,NA
81,Geneforge 3,2005-04-1,19.99,"50,000 .. 100,000",Spiderweb Software,0,0,NA
82,Voyage: Journey to the Moon,2005-08-16,4.99,"50,000 .. 100,000",Microids,0,0,NA
83,World War I,2005-06-17,4.99,"50,000 .. 100,000",Dark Fox,0,0,NA
84,rFactor,2005-08-31,24.99,"50,000 .. 100,000",Image Space Incorporated,0,0,NA
85,Sudeki,2005-03-25,5.99,"50,000 .. 100,000",Climax Studios,0,0,NA
86,UFO: Aftershock,2005-10-21,3.99,"50,000 .. 100,000",ALTAR Interactive,0,0,NA
87,"Codename: Panzers, Phase Two",2005-07-21,14.99,"20,000 .. 50,000","Stormregion, THQ Nordic",0,0,80
88,The Moment of Silence,2005-03-1,14.99,"20,000 .. 50,000",House of Tales,0,0,70
89,Rag Doll Kung Fu,2005-10-12,9.99,"20,000 .. 50,000",Mark Healey,0,0,69
90,Cold War,2005-09-27,4.99,"20,000 .. 50,000",Mindware Studios,0,0,64
91,Stalingrad,2005-04-5,4.99,"20,000 .. 50,000",DTF games,0,0,NA
92,Cuban Missile Crisis: Ice Crusade,2005-07-29,4.99,"20,000 .. 50,000",G5 Software,0,0,NA
93,Midnight Outlaw: 6 Hours to SunUp,2005-07-2,9.99,"20,000 .. 50,000","Merscom, Babylon",0,0,NA
94,Cuban Missile Crisis,2005-05-6,4.99,"20,000 .. 50,000",G5 Software,0,0,NA
95,Desert Law,2005-04-29,2.99,"20,000 .. 50,000",Arise,0,0,NA
96,Dungeon Lords Steam Edition,2005-05-1,14.99,"20,000 .. 50,000",Heuristic Park,0,0,NA
97,Luxor 2,2005-12-8,9.99,"20,000 .. 50,000",MumboJumbo,0,0,NA
98,Crazy Machines 1.5,2005-10-1,9.99,"0 .. 20,000",Fakt Software,0,0,78
99,18 Wheels of Steel: Convoy,2005-09-1,9.99,"0 .. 20,000",SCS Software,0,0,NA
100,Fish Tycoon,2005-11-14,9.99,"0 .. 20,000",Last Day of Work,0,0,NA
101,Luxor Amun Rising,2005-12-8,9.99,"0 .. 20,000",MumboJumbo,0,0,NA
102,Wildlife Tycoon: Venture Africa,2005-10-1,1.99,"0 .. 20,000",Pocketwatch Games,0,0,NA
103,Deadhunt,2005-03-28,4.99,"0 .. 20,000",REL Games,0,0,NA
104,Mystery Case Files: Huntsville,2005-01-1,9.99,"0 .. 20,000",Big Fish Games,0,0,NA
105,Operation: Matriarchy,2005-11-20,5.99,"0 .. 20,000",Madia Entertainment,0,0,NA
106,Disney's Chicken Little,2005-10-20,9.99,"0 .. 20,000",Avalanche Software,0,0,NA
107,Cotropitorii,2005-11-15,2.99,"0 .. 20,000","Alexandru Duta, Victor E. Blaga",0,0,NA
108,Massive Assault: Phantom Renaissance,2005-03-3,9.99,"0 .. 20,000",Wargaming.net,0,0,NA
109,Vulture for NetHack,2005-02-1,2.99,"0 .. 20,000",DarkArts Studios,0,0,NA
110,Ankh - Anniversary Edition,2005-11-4,7.99,"0 .. 20,000",Deck13,0,0,NA
111,Half-Life Deathmatch: Source,2006-05-1,9.99,"10,000,000 .. 20,000,000",Valve,0,0,NA
112,Garry's Mod,2006-11-29,9.99,"10,000,000 .. 20,000,000",Facepunch Studios,626,254,NA
113,Half-Life 2: Episode One,2006-06-1,7.99,"5,000,000 .. 10,000,000",Valve,12,4,87
114,Psychonauts,2006-10-11,9.99,"2,000,000 .. 5,000,000",Double Fine Productions,0,0,87
115,Toribash,2006-03-1,NA,"2,000,000 .. 5,000,000",Nabi Studios,0,0,NA
116,Total War: MEDIEVAL II – Definitive Edition,2006-11-15,24.99,"2,000,000 .. 5,000,000","CREATIVE ASSEMBLY, Feral Interactive (Mac), Feral Interactive (Linux)",72,53,NA
117,Civilization IV: Warlords,2006-07-24,4.99,"1,000,000 .. 2,000,000",Firaxis Games,0,0,84
118,The Ship: Murder Party,2006-07-11,9.99,"1,000,000 .. 2,000,000",Outerlight Ltd.,0,0,76
119,Dark Messiah of Might & Magic,2006-10-25,9.99,"1,000,000 .. 2,000,000",Arkane Studios,0,0,72
120,Microsoft Flight Simulator X: Steam Edition,2006-10-16,24.99,"1,000,000 .. 2,000,000",Microsoft Game Studios,553,184,NA
121,Easy eSports,2006-09-19,NA,"1,000,000 .. 2,000,000",EasyAntiCheat Ltd,342,227,NA
122,Company of Heroes,2006-09-11,19.99,"500,000 .. 1,000,000",Relic Entertainment,0,0,93
123,DEFCON,2006-09-29,9.99,"500,000 .. 1,000,000",Introversion Software,0,0,84
124,Red Orchestra: Ostfront 41-45,2006-03-14,2.49,"500,000 .. 1,000,000",Tripwire Interactive,0,0,81
125,Sid Meier's Railroads!,2006-10-16,9.99,"500,000 .. 1,000,000","Firaxis Games, Feral Interactive (Mac)",0,0,77
126,FlatOut 2,2006-12-21,9.99,"500,000 .. 1,000,000",Bugbear Entertainment,0,0,76
127,Uplink,2006-08-23,9.99,"500,000 .. 1,000,000",Introversion Software,0,0,75
128,Shadowgrounds,2006-05-8,1.04,"500,000 .. 1,000,000",Frozenbyte,0,0,74
129,Call of Duty,2006-10-13,19.99,"200,000 .. 500,000",Infinity Ward,0,0,91
130,Call of Duty: United Offensive,2006-10-13,19.99,"200,000 .. 500,000",Gray Matter Studios,0,0,87
131,Call of Duty 2,2006-10-13,19.99,"200,000 .. 500,000",Infinity Ward,0,0,86
132,Tom Clancy's Rainbow Six Vegas,2006-12-12,9.99,"200,000 .. 500,000",Ubisoft Montreal,0,0,85
133,Tom Clancy's Splinter Cell Double Agent,2006-10-19,9.99,"200,000 .. 500,000",Ubisoft Montreal,0,0,80
134,SiN Episodes: Emergence,2006-05-10,9.99,"200,000 .. 500,000",Ritual Entertainment,0,0,75
135,Earth 2160,2006-04-1,4.99,"200,000 .. 500,000",Reality Pump Studios,430,287,73
136,X2: The Threat,2006-07-21,4.99,"200,000 .. 500,000",Egosoft,0,0,72
137,X3: Reunion,2006-07-21,9.99,"200,000 .. 500,000",Egosoft,0,0,71
138,High On Racing,2006-06-4,4.99,"200,000 .. 500,000",SilentFuture,0,0,NA
139,RACE - The WTCC Game,2006-11-24,39.99,"200,000 .. 500,000",SimBin,0,0,NA
140,Disciples II: Gallean's Return,2006-07-6,6.99,"100,000 .. 200,000",Strategy First,0,0,84
141,Ghost Master,2006-12-21,4.99,"100,000 .. 200,000",Sick Puppies,0,0,81
142,GUN,2006-10-13,19.99,"100,000 .. 200,000",Neversoft,0,0,76
143,Caesar IV,2006-09-9,9.99,"100,000 .. 200,000","Tilted Mill Entertainment, Inc.",0,0,74
144,Tom Clancy's Rainbow Six Lockdown,2006-02-14,9.99,"100,000 .. 200,000",Red Storm Entertainment,0,0,59
145,Feeding Frenzy 2 Deluxe,2006-08-30,4.99,"100,000 .. 200,000","PopCap Games, Inc.",0,0,NA
146,Wildlife Park 2,2006-05-12,6.99,"100,000 .. 200,000",b-alive gmbh,0,0,NA
147,Zuma Deluxe,2006-08-30,4.99,"100,000 .. 200,000","PopCap Games, Inc.",0,0,NA
148,Scratches - Director's Cut,2006-03-8,NA,"100,000 .. 200,000",Nucleosys,0,0,NA
149,King's Quest Collection,2006-09-1,19.99,"100,000 .. 200,000",Sierra,0,0,NA
150,Insaniquarium Deluxe,2006-08-30,4.99,"100,000 .. 200,000","PopCap Games, Inc.",0,0,NA
151,Nux,2006-12-26,6.99,"100,000 .. 200,000",Idigicon,0,0,NA
152,Dangerous Waters,2006-02-7,14.99,"50,000 .. 100,000",Sonalysts,0,0,82
153,Disciples II: Rise of the Elves,2006-07-6,6.99,"50,000 .. 100,000",Strategy First,0,0,80
154,Space Empires IV Deluxe,2006-02-7,9.99,"50,000 .. 100,000",Malfador Machinations,0,0,79
155,Advent Rising,2006-09-14,9.99,"50,000 .. 100,000",GlyphX Games,0,0,70
156,Rogue Trooper,2006-05-23,9.99,"50,000 .. 100,000",Rebellion,0,0,69
157,Gumboy - Crazy Adventures,2006-12-19,4.99,"50,000 .. 100,000","CINEMAX, s.r.o.",0,0,69
158,Marc Eckō's Getting Up: Contents Under Pressure,2006-02-14,14.99,"50,000 .. 100,000","The Collective, General Arcade",0,0,69
159,Space Empires V,2006-10-16,14.99,"50,000 .. 100,000",Malfador Machinations,0,0,68
160,BloodRayne 2,2006-09-14,9.99,"50,000 .. 100,000",Terminal Reality,0,0,67
161,Heroes of Annihilated Empires,2006-11-22,14.99,"50,000 .. 100,000",GSC Game World,0,0,65
162,BloodRayne,2006-09-14,9.99,"50,000 .. 100,000",Terminal Reality,0,0,65
163,The Ship: Single Player,2006-11-20,NA,"50,000 .. 100,000",Outerlight Ltd.,0,0,NA
164,Guilty Gear Isuka,2006-06-20,9.99,"50,000 .. 100,000",Arc System Works,0,0,NA
165,Fleet Command,2006-10-26,9.99,"50,000 .. 100,000",Sonalysts,0,0,NA
166,688(I) Hunter/Killer,2006-10-26,9.99,"50,000 .. 100,000",Sonalysts,0,0,NA
167,The Stalin Subway: Red Veil,2006-10-5,2.99,"50,000 .. 100,000",Orion Games,0,0,NA
168,Bejeweled 2 Deluxe,2006-08-30,4.99,"50,000 .. 100,000","PopCap Games, Inc.",0,0,NA
169,Broken Sword 4 - the Angel of Death,2006-09-15,5.99,"50,000 .. 100,000",Sumo Digital Ltd,0,0,NA
170,Geneforge 4: Rebellion,2006-11-1,19.99,"50,000 .. 100,000",Spiderweb Software,0,0,NA
171,Chuzzle Deluxe,2006-08-30,4.99,"50,000 .. 100,000","PopCap Games, Inc.",0,0,NA
172,Sub Command,2006-10-26,9.99,"20,000 .. 50,000",Sonalysts,0,0,84
173,Xpand Rally,2006-08-24,4.99,"20,000 .. 50,000",Techland,0,0,82
174,RoboBlitz,2006-11-7,9.99,"20,000 .. 50,000",Naked Sky Entertainment,0,0,80
175,Disney•Pixar Cars,2006-07-6,19.99,"20,000 .. 50,000",Beenox,0,0,73
176,Perimeter: Emperor's Testament,2006-08-29,3.99,"20,000 .. 50,000",K-D Lab,0,0,72
177,MX vs. ATV Unleashed,2006-01-16,9.99,"20,000 .. 50,000",Rainbow Studios,0,0,71
178,Faces of War,2006-09-8,4.99,"20,000 .. 50,000",Best Way,0,0,67
179,Shattered Union,2006-10-25,4.99,"20,000 .. 50,000",PopTop,0,0,67
180,Iron Warriors: T - 72 Tank Command,2006-07-26,4.99,"20,000 .. 50,000",Strategy First,0,0,56
181,El Matador,2006-09-25,3.99,"20,000 .. 50,000",Plastic Reality Technologies,0,0,54
182,Pizza Frenzy Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.",0,0,NA
183,Heavy Weapon Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.",0,0,NA
184,Talismania Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.",0,0,NA
185,NAVYFIELD,2006-08-18,NA,"20,000 .. 50,000",SDEnterNET,0,0,NA
186,Hammer Heads Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.",0,0,NA
187,Iggle Pop Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.",0,0,NA
188,Vegas: Make It Big,2006-12-21,4.99,"20,000 .. 50,000",Deepred,0,0,NA
189,Rocket Mania Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.",0,0,NA
190,War on Folvos,2006-09-25,3.99,"20,000 .. 50,000",Lonely Troops,0,0,NA
191,Bejeweled Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.",0,0,NA
192,Big Money! Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.",0,0,NA
193,AstroPop Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.",0,0,NA
194,3D ParticleGen Visual FX,2006-10-27,9.99,"20,000 .. 50,000",Reality Pump,302,100,NA
195,Dynomite Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.",0,0,NA
196,Hard Truck Apocalypse: Rise Of Clans / Ex Machina: Meridian 113,2006-12-18,5.99,"20,000 .. 50,000",Targem Games,0,0,NA
197,Typer Shark! Deluxe,2006-08-30,4.99,"20,000 .. 50,000","PopCap Games, Inc.",0,0,NA
198,The Stalin Subway,2006-10-5,3.99,"20,000 .. 50,000",Orion Games,0,0,NA
199,Al Emmo and the Lost Dutchman's Mine,2006-09-5,9.99,"0 .. 20,000",Himalaya Studios,0,0,77
200,EMERGENCY 4 Deluxe,2006-04-13,17.99,"0 .. 20,000",Sixteen Tons Entertainment,0,0,71
201,Wings Over Europe,2006-05-24,9.99,"0 .. 20,000",Third Wire Productions,0,0,62
202,Battle Of Europe,2006-03-23,9.99,"0 .. 20,000",Maus Software,0,0,54
203,Elite Warriors: Vietnam,2006-03-25,9.99,"0 .. 20,000",N-Fusion Interactive,0,0,46
204,Brigade E5: New Jagged Union,2006-10-17,3.99,"0 .. 20,000",Apeiron,0,0,41
205,Poker Superstars II,2006-10-5,9.99,"0 .. 20,000",Funkitron,0,0,NA
206,BorderZone,2006-07-19,2.99,"0 .. 20,000","Saturn-plus, Orion",0,0,NA
207,Disney•Pixar Cars: Radiator Springs Adventures,2006-06-6,19.99,"0 .. 20,000",AWE Games,0,0,NA
208,Tanita: A Plasticine Dream,2006-08-29,4.99,"0 .. 20,000",Trickster Games,0,0,NA
209,18 Wheels of Steel: Haulin’,2006-12-8,9.99,"0 .. 20,000",SCS Software,0,0,NA
210,Jagged Alliance 2 Gold,2006-07-6,19.99,"0 .. 20,000",Strategy First,0,0,NA
211,Take Command - 2nd Manassas,2006-04-18,9.99,"0 .. 20,000","MadMinute Games, NorbSoftDev",0,0,NA
212,Mystery Case Files: Ravenhearst,2006-12-15,9.99,"0 .. 20,000",Big Fish Games,0,0,NA
213,Hunting Unlimited 4,2006-10-24,9.99,"0 .. 20,000",SCS Software,0,0,NA
214,Zen of Sudoku,2006-12-14,NA,"0 .. 20,000",Unknown Worlds Entertainment,0,0,NA
215,Battle Mages: Sign of Darkness,2006-04-13,4.99,"0 .. 20,000",Targem Games,0,0,NA
216,AGON - The Mysterious Codex (Trilogy),2006-03-16,9.99,"0 .. 20,000",Private Moon Studios,0,0,NA
217,Atlantis Sky Patrol,2006-08-23,9.99,"0 .. 20,000",Big Fish Games,0,0,NA
218,Mystery Case Files: Prime Suspects,2006-04-5,6.99,"0 .. 20,000",Big Fish Games,0,0,NA
219,Barrow Hill: Curse of the Ancient Circle,2006-10-5,7.99,"0 .. 20,000",Shadow Tor Studios,0,0,NA
220,Hidden Expedition: Titanic,2006-07-19,9.99,"0 .. 20,000",Big Fish Games,0,0,NA
221,Desert Gunner,2006-12-31,2.99,"0 .. 20,000",Digital Fusion,0,0,NA
222,Disney's Chicken Little: Ace in Action,2006-12-7,19.99,"0 .. 20,000",Avalanche Software,0,0,NA
223,Team Fortress 2,2007-10-10,NA,"50,000,000 .. 100,000,000",Valve,336,108,92
224,Portal,2007-10-10,9.99,"10,000,000 .. 20,000,000",Valve,69,24,90
225,Half-Life 2: Episode Two,2007-10-10,7.99,"5,000,000 .. 10,000,000",Valve,15,5,90
226,BioShock,2007-08-21,19.99,"2,000,000 .. 5,000,000","2K Boston, 2K Australia",0,0,96
227,Company of Heroes - Legacy Edition,2007-07-17,19.99,"2,000,000 .. 5,000,000",Relic Entertainment,0,0,93
228,Company of Heroes: Opposing Fronts,2007-09-24,19.99,"2,000,000 .. 5,000,000",Relic Entertainment,0,0,87
229,Call of Duty 4: Modern Warfare,2007-11-12,19.99,"1,000,000 .. 2,000,000",Infinity Ward,0,0,92
230,Rome: Total War - Collection,2007-08-28,12.99,"1,000,000 .. 2,000,000",CREATIVE ASSEMBLY,349,183,92
231,Deus Ex: Game of the Year Edition,2007-03-29,6.99,"1,000,000 .. 2,000,000",Ion Storm,0,0,90
232,"Warhammer 40,000: Dawn of War - Dark Crusade",2007-08-7,3.24,"1,000,000 .. 2,000,000",Relic Entertainment,113,37,87
233,Civilization IV: Beyond the Sword,2007-07-24,9.99,"1,000,000 .. 2,000,000",Firaxis Games,0,0,86
234,"Warhammer 40,000: Dawn of War - Game of the Year Edition",2007-08-7,3.24,"1,000,000 .. 2,000,000",Relic Entertainment,4,1,86
235,RACE 07,2007-10-15,3.99,"1,000,000 .. 2,000,000",SimBin,0,0,83
236,Tomb Raider: Anniversary,2007-06-5,8.99,"1,000,000 .. 2,000,000","Crystal Dynamics, Feral Interactive (Mac)",0,0,83
237,Hitman: Blood Money,2007-03-15,9.99,"1,000,000 .. 2,000,000",Io-Interactive A/S,0,0,82
238,Tomb Raider: Legend,2007-03-29,6.99,"1,000,000 .. 2,000,000",Crystal Dynamics,0,0,82
239,S.T.A.L.K.E.R.: Shadow of Chernobyl,2007-03-20,19.99,"1,000,000 .. 2,000,000",GSC Game World,1463,487,82
240,Deus Ex: Invisible War,2007-03-29,6.99,"1,000,000 .. 2,000,000",Ion Storm,0,0,80
241,Just Cause,2007-03-15,6.99,"1,000,000 .. 2,000,000",Avalanche Studios,92,30,75
242,Hitman: Codename 47,2007-03-15,7.99,"1,000,000 .. 2,000,000",IO Interactive A/S,0,0,73
243,Teeworlds,2007-05-27,NA,"1,000,000 .. 2,000,000",Teeworlds Team,0,0,NA
244,Thief: Deadly Shadows,2007-03-29,8.99,"500,000 .. 1,000,000",Ion Storm,0,0,85
245,Vampire: The Masquerade - Bloodlines,2007-03-22,19.99,"500,000 .. 1,000,000",Troika Games,0,0,80
246,Rome: Total War - Alexander,2007-08-28,12.99,"500,000 .. 1,000,000",The Creative Assembly,14,4,79
247,Shadowgrounds Survivor,2007-11-14,1.49,"500,000 .. 1,000,000",Frozenbyte,0,0,79
248,Penumbra Overture,2007-03-30,9.99,"500,000 .. 1,000,000",Frictional Games,0,0,73
249,Kane and Lynch: Dead Men,2007-11-13,6.99,"500,000 .. 1,000,000",IO Interactive,0,0,67
250,Commandos: Beyond the Call of Duty,2007-03-15,4.99,"500,000 .. 1,000,000",Pyro Studios,0,0,NA
251,Sam & Max 104: Abe Lincoln Must Die!,2007-06-15,NA,"500,000 .. 1,000,000",Telltale Games,0,0,NA
252,Audition Online,2007-04-2,NA,"500,000 .. 1,000,000",T3 Entertainment,0,0,NA
253,Commandos: Behind Enemy Lines,2007-03-15,4.99,"500,000 .. 1,000,000",Pyro Studios,0,0,NA
254,"Warhammer 40,000: Dawn of War – Winter Assault",2007-08-7,3.24,"500,000 .. 1,000,000",Relic Entertainment,1,0,NA
255,Master Levels for Doom II,2007-08-3,14.99,"500,000 .. 1,000,000",id Software,0,0,NA
256,The Longest Journey,2007-05-1,9.99,"200,000 .. 500,000",Funcom,0,0,91
257,Return to Castle Wolfenstein,2007-08-3,4.99,"200,000 .. 500,000",Gray Matter Studios,0,0,88
258,Medieval II: Total War Kingdoms,2007-08-28,24.99,"200,000 .. 500,000","The Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)",0,0,85
259,Jade Empire: Special Edition,2007-02-27,14.99,"200,000 .. 500,000",BioWare Corporation,0,0,81
260,Battlestations: Midway,2007-03-15,6.99,"200,000 .. 500,000",Eidos Interactive,0,0,76
261,FlatOut,2007-02-2,7.49,"200,000 .. 500,000",Bugbear Entertainment,0,0,72
