id,podjetje,ime_igre
463,Petite Fleur Productions,AGE
464,Microids Indie,AGON - The Mysterious Codex (Trilogy)
465,Oppai Reveal Studios,AHEGAL
466,"Hashplay, Inc.",AHTS Ship Simulator
467,Indie Retro Games,AI Anomaly
468,Narko Games,AI Dummy
469,Paradise Project,AI Escort
470,Immergity,AI Rebellion VR
471,"Arcen Games, LLC",AI War 2
472,"Arcen Games, LLC",AI War: Fleet Command
473,New Reality Games,AI: Rampage
474,TheElvenTale Games,AIDEN
475,mamor games,AIPD - Artificial Intelligence Police Department
476,Blindflug Studios AG,AIRHEART - Tales of broken Wings
477,ebi-hime,AIdol
478,"XSEED Games, Marvelous USA, Inc.",AKIBA'S TRIP: Undead ＆ Undressed
479,Wreck Tangle Games,ALASKA
480,Klabater,ALICE VR
481,"Mindware Co.,Ltd.",ALIEN FIELD
482,Kerim Kumbasar,ALIENS INVADED OUR PLANET
483,Nyu Media,ALLTYNEX Second
484,Butterflyware,ALONE IN SPACE
485,Deceptive Games,ALONE?
486,Deceptive Games Ltd.,ALONE? - VR
487,Microids Indie,ALPAGES : THE FIVE BOOKS
488,Zoo Corporation,ALVAROK
489,Fevolution Innovation Inc.,ALaLa: Wake Mi Up!
490,Sekai Project,AL･FINE
491,Ao Mariko 2016,AM Model Viewer
492,Gerald David Becker,AMBUSH tactics
493,Artem Bondin,AMOK
494,Lykke Studios,AMON
495,Ceylon Entertainment,AMPLITUDE: A Visual Novel
496,Phat Phrog Studios,ANIMALITY
497,KrupinskiArt,ANKI
498,Umbral Arts,ANSIBLE
499,Startreming,ANTIFECTOR
500,Sciman101,ANYKEY
501,Borazon Games LLC,ANti: Virus Destroyer
502,Big Ant Studios,AO International Tennis
503,Little Orbit,APB Reloaded
504,Fantom Fathom LLC,APEX Tournament
505,BlueGiant Interactive,APOX
506,RIP Studios LLC,APT
507,GATO STUDIO,AR-K
508,GATO STUDIO,AR-K: The Great Escape
509,MAD Virtual Reality Studio,ARAYA
510,Akimbo Creations,ARC Continuum
511,BANDAI NAMCO Entertainment,ARCADE GAME SERIES: DIG DUG
512,BANDAI NAMCO Entertainment,ARCADE GAME SERIES: GALAGA
513,BANDAI NAMCO Entertainment,ARCADE GAME SERIES: Ms. PAC-MAN
514,BANDAI NAMCO Entertainment,ARCADE GAME SERIES: PAC-MAN
515,Diehardtales Games,AREA 4643
516,MB2 Entertainment,ARENA 3D
517,Artur Rezende,ARENA 8
518,Supertype,ARENA GODS
519,Crian Soft S.A.,ARENA an Age of Barbarians story
520,Narrator,ARK -the lost fairytale-
521,PolarityFlow,ARK BOX Unlimited
522,Snail Games,ARK Park
523,Studio Wildcard,ARK: Survival Evolved
524,Studio Wildcard,ARK: Survival Of The Fittest
525,Nefarious Dimensions Inc.,ARM PLANETARY PROSPECTORS Asteroid Resource Mining
526,Bohemia Interactive,ARMA: Cold War Assault
527,Bohemia Interactive,ARMA: Combat Operations
528,Bohemia Interactive,ARMA: Gold Edition
529,Nyu Media,ARMED SEVEN
530,BOBAFETTA,ARRAYNIUM
531,"KOEI TECMO GAMES CO., LTD.",ARSLAN: THE WARRIORS OF LEGEND
532,Triseum,ARTé: Mecenas
533,Whimsy Games,AS+CEND
534,Simon Says: Play!,ASA: A Space Adventure - Remastered Edition
535,ONEVISION GAMES,ASCENDANCE
536,SPARK Games,ASCENT: Crash Landing
537,Daisy Maze Games,ASCII Attack
538,Giant Enemy Labs,ASDAD: All-Stars Dungeons and Diamonds
539,Two-Way Ltd.,ASH OF WAR
540,Colossal Wreck,ASMR Universe
541,Colossal Wreck,ASMR Universe 2
542,OtakuMaker.com,ASRECorp
543,VitaliZelenyuk,ASSASSINATION BOX
544,Fabio Biancarelli,ASSASSINATION STATION
545,"Marvelous, Marvelous Europe Limited",ASSAULT GUNNERS HD EDITION
546,"Move Games. Co., LTD",ASTA : ASTA Server
547,NA,ASTA : NEW PURE Server
548,Hype ProductionZ,ASTRAL
549,Doomsday Games,ASTROKILL
550,System Era Softworks,ASTRONEER
551,Grapeshot Games,ATLAS
552,Degica,ATLAS レジェンドパック
553,ATMODEPTH,ATMOTECH EPISODE PRAELUDIUM
554,Sekai Project,ATOM GRRRL!!
555,AtomTeam,ATOM RPG: Post-apocalyptic indie game
556,Ubisoft,ATOMEGA
557,Broken Arms Games Pty Ltd,ATOMINE
558,DRUNKEN APES,ATTACK OF THE KILLER FURRIES
559,Microids,ATV Drift & Tricks
560,magnussoft,ATV Quadracer Ultimate
561,NA,ATV Simulator VR
562,DCGsoft,AUTOCROSS MADNESS
563,WANZUNGDEV,AV-17
564,Bright Phoenix Studio,AVATAR: Consolidate
565,Nikita Online,AVATARIKA
566,AVOlight,AVOlight.Space (Multiple Video Players)
567,Big Robot Ltd,AVSEQ
568,OMNIDREAM CREATIONS,AWA
569,Yeti Studio©,AWAKE
570,Wheeler Studio,AWAKEN：Gunpowder Adventurer Day.Dream
571,AWS,AWS Argentina Wingshooting Simulator
572,KISS ltd,AX:EL - Air XenoDawn
573,Axyos Games,AXYOS
574,Tranquility games,AZURA
575,"Dejobaan Games, LLC",AaAaAA!!! - A Reckless Disregard for Gravity
576,"Dejobaan Games, LLC",AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome
577,Mad Fellows,Aaero
578,Bigben Interactive,Aarklash: Legacy
579,Aartform,Aartform Curvy 3D 3.0
580,Lumenox ehf,Aaru's Awakening
581,Asmodee Digital,Abalone
582,Purple Studios,Abalyte
583,Fireblade Software,Abandon Ship
584,Devious Minds,Abandoned
585,munsunghyun,Abandoned Hospital VR
586,Dagestan Technology,Abandoned Knight
587,"Tri Synergy, Inc.",Abandoned: Chestnut Lodge Asylum
588,Narko Games,Abasralsa
589,W3 Studios,Abatron
590,"Blackthorn Media, LLC",Abbot's Book Demo
591,Sunside Games,Abducted
592,Fun Infused Games,Abduction Action! Plus
593,SEEP,Abduction Bit
594,Red Iron Labs,Abduction Prologue: The Story Of Jonathan Blake
595,Jarbit,Aberoth
596,Little Angel,"Abha ""Light on the Path"""
597,Skot Leach,Able Black
598,NedoStudio,Ablepsia
599,Kedexa,Abnormal world: season one
600,Moving Dimensions,Abo Khashem
601,Overflow,Abode
602,Amethyst Quarter,Abomination Tower
603,Flying Islands Team,Aborigenus
604,Toni Domínguez,About Elise
605,Black Pants Studio,"About Love, Hate and the other ones"
606,Patagoniart,Above - VR
