ID,Ime,Drzava,Datum_ustanovitve,Opis
135,Bandai Namco Entertainment,Japan,1955,
136,Bandai Namco EntertainmentBandai Namco Studios,Japan,19552012,Bandai Namco Entertainment is a subsidiary of Bandai Namco Holdings; Bandai Namco Studios was split off from Bandai Namco Entertainment in 2012
137,Banpresto,Japan,1977,Acquired by Namco Bandai Holdings. No longer publishes video games.
138,Bauhaus Entertainment,Japan,2006,Division of Imagica DigitalScape [ja]
139,Beagle Bros,United States,1980,Defunct in 1991.
140,Beenox,Canada,2000,"Acquired by Activision on May 25, 2005"
141,Behaviour Interactive,Canada,1992,
142,Behaviour Santiago,Chile,2002,Subsidiary of Behaviour Interactive; closed in 2017
143,Bend Studio,United States,"1993 (Founded as Blank, Berlyn and Co., later Eidetic)","Founded by Blank, Berlyn and Co. and Eidetic, acquired by Sony Interactive Entertainment as a part of SIE Worldwide Studios in 2000."
144,Bergsala Lightweight,Japan,1995,
145,Berkeley Systems,United States,1987,Acquired by Sierra in 1997. Defunct in 2000.
146,Best Way,Ukraine,1991,
147,Bethesda Game Studios,United States,2001,In-house development team of Bethesda Softworks LLC
148,Bethesda Softworks,United States,1986,Also a video game developer. Acquired by Microsoft in 2020.
149,Beyond Software,United Kingdom,1983,Acquired by Telecomsoft in 1985.
150,Big Blue Bubble,Canada,2004,Acquired by Enad Global 7 in 2020.[3]
151,Big Finish Games,United States,2007,
152,Big Fish Games,United States,2002,Acquired by Aristocrat Technologies in 2018
153,Big Five Software,United States,1980,Defunct in 1984.
154,Big Huge Games,United States,2000,Acquired by Nexon in 2016
155,BioWare,Canada,1995,Acquired by Electronic Arts in 2007
156,Bits Studios,United Kingdom,1991,Acquired by PlayWize in 2008
157,Bizarre Creations,United Kingdom,1994,Defunct in 2011
158,Black Bean Games,Italy,2004,Merged with Milestone S.r.l. in 2012.
159,Black Forest Games,Germany,2012,Acquired by THQ Nordic in 2017
160,Black Isle Studios,United States,1996,Subsidiary of Interplay Entertainment; closed in 2003
161,Black Legend,UK,1993,Defunct in 1996.
